,temp_zone_0,phvac_0,occ_0,solar,temp_outdoor,Time,day_sin,day_cos,setpt_0
2021-07-23 00:00:00,72.04323083,-2519.040209,1,0.0,65.54666667,7/23/2021 0:00,0.0,1.0,25
2021-07-23 00:15:00,71.92024842,-2510.434696,0,0.0,64.93333333,7/23/2021 0:15,0.065403129,0.997858923,25
2021-07-23 00:30:00,71.68655217,-2497.501152,0,0.0,64.57333333,7/23/2021 0:30,0.130526192,0.991444861,25
2021-07-23 00:45:00,71.45282783,-2491.513976,0,0.0,64.20666667,7/23/2021 0:45,0.195090322,0.98078528,25
2021-07-23 01:00:00,71.21241467,-2494.031552,0,0.0,64.0,7/23/2021 1:00,0.258819045,0.965925826,25
2021-07-23 01:15:00,70.98156042,-2497.392948,0,0.0,63.78666667,7/23/2021 1:15,0.321439465,0.946930129,25
2021-07-23 01:30:00,70.77933833,-2494.569649,0,0.0,63.43333333,7/23/2021 1:30,0.382683432,0.923879533,25
2021-07-23 01:45:00,70.6038015,-2490.590046,0,0.0,63.06666667,7/23/2021 1:45,0.44228869,0.896872742,25
2021-07-23 02:00:00,70.45575375,-2477.44574,0,0.0,63.0,7/23/2021 2:00,0.5,0.866025404,25
2021-07-23 02:15:00,70.31003425,-2451.985822,0,0.0,63.0,7/23/2021 2:15,0.555570233,0.831469612,25
2021-07-23 02:30:00,70.18037833,-2435.544887,0,0.0,63.0,7/23/2021 2:30,0.608761429,0.79335334,25
2021-07-23 02:45:00,70.058937,-2423.467748,0,0.0,63.0,7/23/2021 2:45,0.659345815,0.751839807,25
2021-07-23 03:00:00,69.9639555,-2421.282905,0,0.0,62.92,7/23/2021 3:00,0.707106781,0.707106781,25
2021-07-23 03:15:00,69.88203958,-2412.484111,0,0.0,62.97333333,7/23/2021 3:15,0.751839807,0.659345815,25
2021-07-23 03:30:00,69.80795833,-2413.325393,0,0.0,62.56,7/23/2021 3:30,0.79335334,0.608761429,25
2021-07-23 03:45:00,69.74986008,-2418.289776,0,0.0,62.11333333,7/23/2021 3:45,0.831469612,0.555570233,25
2021-07-23 04:00:00,69.65849492,-2429.253696,0,0.0,61.84,7/23/2021 4:00,0.866025404,0.5,25
2021-07-23 04:15:00,69.58021242,-2438.532398,0,0.0,61.8,7/23/2021 4:15,0.896872742,0.44228869,25
2021-07-23 04:30:00,69.51099708,-2443.020298,0,0.0,61.9,7/23/2021 4:30,0.923879533,0.382683432,25
2021-07-23 04:45:00,69.45276717,-2439.50674,0,0.0,61.74,7/23/2021 4:45,0.946930129,0.321439465,25
2021-07-23 05:00:00,69.39914467,-2437.273241,0,0.0,61.48666667,7/23/2021 5:00,0.965925826,0.258819045,25
2021-07-23 05:15:00,69.329962,-2443.648361,0,0.0,61.49333333,7/23/2021 5:15,0.98078528,0.195090322,25
2021-07-23 05:30:00,69.264136,-2441.77587,1,0.0,61.56666667,7/23/2021 5:30,0.991444861,0.130526192,25
2021-07-23 05:45:00,69.27931483,-2435.988447,0,3.533333333,61.12,7/23/2021 5:45,0.997858923,0.065403129,25
2021-07-23 06:00:00,69.24365658,-2432.452396,0,13.46666667,61.1,7/23/2021 6:00,1.0,6.12e-17,25
2021-07-23 06:15:00,69.232462,-2433.571719,0,25.46666667,61.00666667,7/23/2021 6:15,0.997858923,-0.065403129,25
